
000-(104): D_cost: -10.050  Wasserstein_D: 11.920  G_cost: 0.603  
000-(105): D_cost: -9.783  Wasserstein_D: 11.484  G_cost: 0.391  
000-(106): D_cost: -9.819  Wasserstein_D: 11.651  G_cost: -0.270  
000-(107): D_cost: -9.682  Wasserstein_D: 11.736  G_cost: -1.322  
000-(108): D_cost: -9.815  Wasserstein_D: 11.982  G_cost: -1.336  
000-(109): D_cost: -10.031  Wasserstein_D: 11.899  G_cost: -1.562  
000-(110): D_cost: -9.899  Wasserstein_D: 11.638  G_cost: -1.329  
000-(111): D_cost: -9.570  Wasserstein_D: 11.011  G_cost: -0.606  
000-(112): D_cost: -9.714  Wasserstein_D: 11.787  G_cost: 0.632  
000-(113): D_cost: -9.806  Wasserstein_D: 11.776  G_cost: 2.253  
000-(114): D_cost: -9.986  Wasserstein_D: 11.817  G_cost: 2.356  
000-(115): D_cost: -9.936  Wasserstein_D: 11.782  G_cost: 2.078  
000-(116): D_cost: -9.599  Wasserstein_D: 11.684  G_cost: 2.209  
001-(0): D_cost: -9.748  Wasserstein_D: 11.507  G_cost: 1.645  
001-(1): D_cost: -9.520  Wasserstein_D: 11.345  G_cost: 1.352  
001-(2): D_cost: -9.615  Wasserstein_D: 11.511  G_cost: -0.267  
001-(3): D_cost: -9.493  Wasserstein_D: 11.347  G_cost: 0.184  
001-(4): D_cost: -9.373  Wasserstein_D: 10.939  G_cost: -0.466  
001-(5): D_cost: -9.075  Wasserstein_D: 10.868  G_cost: -0.309  
001-(6): D_cost: -8.905  Wasserstein_D: 10.715  G_cost: -1.110  
001-(7): D_cost: -9.254  Wasserstein_D: 10.629  G_cost: -0.998  
001-(8): D_cost: -9.394  Wasserstein_D: 11.074  G_cost: 0.061  
001-(9): D_cost: -9.514  Wasserstein_D: 11.314  G_cost: 1.224  
001-(10): D_cost: -9.259  Wasserstein_D: 11.133  G_cost: 2.880  
001-(11): D_cost: -9.581  Wasserstein_D: 11.492  G_cost: 4.166  
001-(12): D_cost: -9.455  Wasserstein_D: 11.169  G_cost: 4.123  
001-(13): D_cost: -9.482  Wasserstein_D: 11.141  G_cost: 4.158  
001-(14): D_cost: -9.720  Wasserstein_D: 11.511  G_cost: 4.569  
001-(15): D_cost: -9.813  Wasserstein_D: 11.648  G_cost: 5.104  
001-(16): D_cost: -9.436  Wasserstein_D: 11.176  G_cost: 2.863  
001-(17): D_cost: -9.090  Wasserstein_D: 10.712  G_cost: 1.606  
001-(18): D_cost: -8.906  Wasserstein_D: 10.502  G_cost: 0.649  
001-(19): D_cost: -8.669  Wasserstein_D: 9.978  G_cost: -0.934  
001-(20): D_cost: -8.481  Wasserstein_D: 10.229  G_cost: 0.716  
001-(21): D_cost: -9.069  Wasserstein_D: 10.544  G_cost: -0.308  
001-(22): D_cost: -8.880  Wasserstein_D: 10.509  G_cost: 0.976  
001-(23): D_cost: -9.241  Wasserstein_D: 11.139  G_cost: 2.667  
001-(24): D_cost: -9.138  Wasserstein_D: 10.467  G_cost: 0.157  
001-(25): D_cost: -8.848  Wasserstein_D: 10.355  G_cost: -0.039  
001-(26): D_cost: -8.759  Wasserstein_D: 10.397  G_cost: 0.136  
001-(27): D_cost: -8.818  Wasserstein_D: 10.376  G_cost: -1.382  
001-(28): D_cost: -8.826  Wasserstein_D: 10.731  G_cost: 0.394  
001-(29): D_cost: -8.756  Wasserstein_D: 10.298  G_cost: -0.088  
001-(30): D_cost: -8.610  Wasserstein_D: 10.406  G_cost: -0.605  
001-(31): D_cost: -8.792  Wasserstein_D: 10.289  G_cost: -1.200  
001-(32): D_cost: -8.684  Wasserstein_D: 10.655  G_cost: 1.011  
001-(33): D_cost: -8.474  Wasserstein_D: 9.851  G_cost: -0.242  
001-(34): D_cost: -8.451  Wasserstein_D: 9.808  G_cost: 0.190  
001-(35): D_cost: -8.095  Wasserstein_D: 9.554  G_cost: 1.374  
001-(36): D_cost: -8.439  Wasserstein_D: 9.797  G_cost: 1.024  
001-(37): D_cost: -8.448  Wasserstein_D: 9.852  G_cost: 2.065  
001-(38): D_cost: -8.350  Wasserstein_D: 9.815  G_cost: 0.974  
001-(39): D_cost: -8.096  Wasserstein_D: 9.455  G_cost: 1.292  
001-(40): D_cost: -7.957  Wasserstein_D: 9.070  G_cost: -1.315  
001-(41): D_cost: -7.971  Wasserstein_D: 9.329  G_cost: 0.612  
001-(42): D_cost: -7.946  Wasserstein_D: 9.190  G_cost: -0.310  
001-(43): D_cost: -7.917  Wasserstein_D: 9.175  G_cost: 0.294  
001-(44): D_cost: -7.906  Wasserstein_D: 9.124  G_cost: 0.048  
001-(45): D_cost: -7.739  Wasserstein_D: 9.020  G_cost: 0.891  
001-(46): D_cost: -7.585  Wasserstein_D: 8.855  G_cost: 0.671  
